env,family,param,planner,K,seed,success,search_time,total_time,path_length,waypoints,nodes,iterations,error
clutter_n020.yaml,clutter,20.0,rrt,5,15,1,0.7335,0.734,504.079,52,163,116,
clutter_n020.yaml,clutter,20.0,rrt,5,16,1,2.1909,2.1915,518.234,53,498,465,
clutter_n020.yaml,clutter,20.0,rrt,5,17,1,0.6085,0.609,454.402,47,127,77,
clutter_n020.yaml,clutter,20.0,rrt,5,18,1,0.5998,0.6002,358.524,37,134,75,
clutter_n020.yaml,clutter,20.0,rrt,5,19,1,3.4498,3.4501,386.376,40,721,565,
clutter_n020.yaml,clutter,20.0,rrt,5,20,1,3.2193,3.2199,441.885,46,712,639,
clutter_n020.yaml,clutter,20.0,rrt,5,21,1,12.2029,12.2037,820.12,84,2753,2355,
clutter_n020.yaml,clutter,20.0,rrt,5,22,1,3.4814,3.4818,753.507,78,806,610,
clutter_n020.yaml,clutter,20.0,rrt,5,23,1,0.1171,0.1174,320.0,33,38,6,
clutter_n020.yaml,clutter,20.0,rrt,5,24,1,3.7582,3.7587,440.23,46,892,959,
clutter_n020.yaml,clutter,20.0,rrt,5,25,1,10.5425,10.5429,446.662,46,2272,1921,
clutter_n020.yaml,clutter,20.0,rrt,5,26,1,0.133,0.1333,303.281,32,44,11,
clutter_n020.yaml,clutter,20.0,rrt,5,27,1,1.0913,1.092,578.072,60,251,210,
clutter_n020.yaml,clutter,20.0,rrt,5,28,1,3.1655,3.1662,653.481,67,522,406,
clutter_n020.yaml,clutter,20.0,rrt,5,29,1,4.4208,4.4212,741.789,76,946,850,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,0,1,0.1537,0.154,365.769,38,48,32,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,1,1,0.1966,0.1969,419.278,43,56,83,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,2,1,0.2017,0.2021,387.371,40,54,76,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,3,1,0.1872,0.1877,369.069,38,53,50,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,4,1,0.2527,0.2532,403.263,42,52,55,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,5,1,0.3446,0.3452,526.921,54,74,92,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,6,1,0.4128,0.4135,536.794,55,104,210,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,7,1,0.7385,0.7392,571.029,59,138,327,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,8,1,0.2596,0.2603,456.161,47,58,82,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,9,1,0.4387,0.4393,456.24,47,97,176,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,10,1,0.2597,0.26,426.848,44,59,70,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,11,1,0.6198,0.6203,546.2,56,120,211,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,12,1,0.1884,0.189,380.837,40,51,31,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,13,1,0.2598,0.2603,466.824,48,67,99,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,14,1,0.163,0.1633,380.974,40,53,71,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,15,1,0.1996,0.1999,390.328,41,56,53,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,16,1,0.5617,0.5622,403.817,42,121,192,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,17,1,0.2372,0.2378,445.025,46,67,104,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,18,1,0.2607,0.2612,437.426,45,58,131,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,19,1,0.3202,0.3204,416.171,43,95,110,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,20,1,0.2326,0.233,433.396,45,65,94,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,21,1,0.3885,0.3891,539.86,55,78,79,
clutter_n020.yaml,clutter,20.0,rrt-connect,5,22,1,0.1674,0.1677,376.328,39,49,36,
